CHEMBL100137	raxxcosherwcgk-uhfffaoysa-n	cosher
CHEMBL100263	kopoxtailjwkqj-cqszacivsa-n	oxtail
CHEMBL104627	zqshcpmjoscqpp-nprfrothsa-n	froths
CHEMBL105700	atbclearsiltpn-nzyggcltsa-m	clears
CHEMBL105740	pncqdistaltmca-ukwghvslsa-n	distal
CHEMBL107151	xpxumewyirredk-fqevstjzsa-n	yirred
CHEMBL1075648	bphvcxiszmiibf-cpcredonsa-n	redons
CHEMBL1075864	fhvzmlvjeorupe-cpcredonsa-n	redons
CHEMBL1075867	ziwqlrgtaurflb-cpcredonsa-n	redons
CHEMBL1075872	avwcjsuyyfobcj-cpcredonsa-n	redons
CHEMBL1075883	kztimnxvbmumkg-cpcredonsa-n	redons
CHEMBL1075981	umkcgfolkoldqw-cpcredonsa-n	redons
CHEMBL1075983	hicwguphhlztoo-cpcredonsa-n	redons
CHEMBL1076031	uvvcrgqomhaypz-cpcredonsa-n	redons
CHEMBL1076053	wvulpkgxvxjpev-ijerkedcsa-n	jerked
CHEMBL1076068	rchklbwzzigdcr-cpcredonsa-n	redons
CHEMBL1076069	dlgrbigfennzkc-cpcredonsa-n	redons
CHEMBL1076071	zpebbucuqiasrs-cpcredonsa-n	redons
CHEMBL1076101	oawvvuapnmpufu-cpcredonsa-n	redons
CHEMBL1076109	mjxycbrrvksutl-cpcredonsa-n	redons
CHEMBL107615	ztfinalezgsidp-uhfffaoysa-n	finale
CHEMBL1076159	vjkzkgwbfrozkc-cpcredonsa-n	redons
CHEMBL107684	hxrgkalamosvrr-uhfffaoysa-n	alamos
CHEMBL1080385	praisevvhnspbh-ibgzpjmesa-n	praise
CHEMBL1082835	dsafetyfzhlzix-akjbcibtsa-n	safety
CHEMBL108450	zbbheavesuudtn-uhfffaoysa-n	heaves
CHEMBL1086385	rgisvixwcppdkv-charkanrsa-n	charka
CHEMBL1087536	weaklyjuehhumc-ztbaghresa-n	weakly
CHEMBL1088401	xossmudgybdyen-uhfffaoysa-n	smudgy
CHEMBL109110	krubquvniycarv-mkpdmimosa-n	mimosa
CHEMBL109255	rbjbzxwkabarsy-uhfffaoysa-n	kabars
CHEMBL1098358	btdnmvivifyuge-ubkiqsjtsa-n	vivify
CHEMBL112141	nzxfroyseracsm-uhfffaoysa-n	seracs
CHEMBL113076	ysnaembedswmsl-uhfffaoysa-n	embeds
CHEMBL114767	mhrnetushnnxhg-vtyaddersa-n	adders
CHEMBL115452	fealtyykrmrxtg-qpjjxvbhsa-n	fealty
CHEMBL1162529	zjvgegrzgytesb-dgtdecafsa-n	decafs
CHEMBL1162536	lecmnzjlsyupfq-dgtdecafsa-n	decafs
CHEMBL1162585	prffbrqruaihpp-fuwcliftsa-n	clifts
CHEMBL1163778	vqofdbammdvjmi-ahawingjsa-n	hawing
CHEMBL1165147	ixcuovpfoodiet-zdusscgksa-n	foodie
CHEMBL116628	azmmwxvevkajaz-rofassetsa-n	assets
CHEMBL1170031	qhalpinexomwbi-ppsmkjhdsa-n	alpine
CHEMBL1170045	kaftusaaytvfiy-ybedaubbsa-n	bedaub
CHEMBL1170222	gcdydoohvaziiz-ybedaubbsa-n	bedaub
CHEMBL1172683	ogpfibbedqrvlm-dtzqcdijsa-n	fibbed
CHEMBL1173695	faanyhowolyobe-uhfffaoysa-n	anyhow
CHEMBL1179422	fuvpinklyzmqgi-uhfffaoysa-n	pinkly
CHEMBL1179644	nbyoyackedplkw-uhfffaoysa-n	yacked
CHEMBL1183767	ibidemaxbppvto-lsmyixfnsa-n	ibidem
CHEMBL1185497	qtondospqafado-uhfffaoysa-n	tondos
CHEMBL118634	hhuxfextrasapl-uhfffaoysa-n	extras
CHEMBL1187041	xshistsqxdxemk-ztkriwfqsa-n	shists
CHEMBL1188333	qitidicseaterl-uhfffaoysa-n	seater
CHEMBL1189313	rtagvibriocees-uhfffaoysa-n	vibrio
CHEMBL1194674	bvyvqtzbcilice-rrpnlbnlsa-n	cilice
CHEMBL1195370	amppifkkjkspbs-bdwkermesa-n	kermes
CHEMBL1198800	ixhumocdxbderv-utighyllsa-n	ghylls
CHEMBL12013	guilesavavidih-uhfffaoysa-n	guiles
CHEMBL1203391	agoutizotdehfy-uhfffaoysa-n	agouti
CHEMBL1204376	cmwhoisesodaez-ljlrierrsa-n	hoises
CHEMBL120617	zsnakilysgamrm-uhfffaoysa-n	snakily
CHEMBL1210074	iemhwlgloudenu-byclxtjysa-n	louden
CHEMBL121553	ppgdecvblabbed-reohclbhsa-n	blabbed
CHEMBL1222691	slwscroopgafdq-uhfffaoysa-n	scroop
CHEMBL1222906	ujkpmedflysmfl-sfhvurjksa-n	medfly
CHEMBL1223006	vgubuiarguedgv-qhcpkhfhsa-n	argued
CHEMBL122449	nqonqcuspidbkj-hnnxbmfysa-n	cuspid
CHEMBL123150	ozvivmcnsapote-uhfffaoysa-n	sapote
CHEMBL1232279	ctmcwconsulrho-uhqpfxkfsa-n	consul
CHEMBL1242373	xlfyoivelarskp-uhfffaoysa-n	velars
CHEMBL124835	odbpjvulvaljhe-uhfffaoysa-n	vulval
CHEMBL1253428	bhdyhtlkfqpvcp-qzespikesa-n	spikes
CHEMBL1254974	crcdrpxnsxpmax-beliefibsa-n	belief
CHEMBL1256044	fzgfxridzgywik-cpcredonsa-n	redons
CHEMBL1256058	vuvsgpfjjacufu-cpcredonsa-n	redons
CHEMBL1256059	zncppysubbcnaa-cpcredonsa-n	redons
CHEMBL1256062	xjzmbvbzyacdle-cpcredonsa-n	redons
CHEMBL1256070	gqdocnrwxyusjz-cpcredonsa-n	redons
CHEMBL1256084	wvhvboxiontzli-cpcredonsa-n	redons
CHEMBL1256086	putuoipixxyylv-cpcredonsa-n	redons
CHEMBL1256296	iqaudawjswayed-uhfffaoysa-n	swayed
CHEMBL126672	zfuadrifthqwit-uhfffaoysa-n	adrift
CHEMBL1269797	vuwfjcycoosegt-cpcredonsa-n	redons
CHEMBL1269976	swutwhdtarsusi-uhfffaoysa-n	tarsus
CHEMBL1275891	nthclqnrakgdet-nqrcanersa-n	caners
CHEMBL1277134	hjzabasilkencw-aeuieiccsa-n	silken
CHEMBL128583	zqinscrewscvmp-uhfffaoysa-n	screws
CHEMBL128712	xkraxwbjkdblfm-gerbilsosa-n	gerbil
CHEMBL128712	xkraxwbjkdblfm-gerbilsosa-n	gerbils
CHEMBL1287917	rfclpmimicskfw-uhfffaoysa-n	mimics
CHEMBL1288269	lkxilsfitaswco-bgmraphesa-n	raphes
CHEMBL1288526	zpvhbqighvbbkf-cpcredonsa-n	redons
